#ra,dec,dered_g,dered_r,dered_u,flags
228.90754834,1.79643493,19.116991,18.555788,20.450668,68988043776
228.95422184,1.73616824,19.152126,18.874077,20.106426,68987912704
228.90887827,1.68077549,21.018494,20.578907,22.107767,193583034532184
228.99812857,1.68339041,17.326494,16.952536,18.460371,35255507484688
229.03925559,1.70949889,15.52719,15.333059,16.423599,68988043776
229.08044879,1.71582457,15.912497,15.420465,17.394915,68987912192
229.12253286,1.71082526,16.727327,16.341187,17.742743,68987912192
229.04030754,1.77357601,20.308237,20.105425,21.164581,35253360132112
229.03984056,1.77191685,22.40061,22.065426,22.958508,105622137733136
229.12339064,1.73580687,20.50309,20.244713,21.291815,68987912704
228.99837174,1.79887426,22.653599,22.343075,23.666849,105624251797776
228.99833165,1.76113066,22.447056,22.304384,23.145332,68987912192
228.99867629,1.72665687,20.934906,20.855091,22.158512,68987912704
229.03901546,1.75183539,21.36237,20.960396,22.752794,68987912960
229.08200273,1.70658054,22.627676,22.090643,23.947992,35253393555728
229.12450874,1.6596431,22.13809,21.676804,22.805387,68987912192
229.16821215,1.73982273,17.310863,17.048643,18.201532,35255507619856
229.25671759,1.77488069,19.511827,19.229288,20.530472,68987912192
229.25765956,1.69313592,18.907238,18.532125,19.951483,35253360001552
229.25722336,1.61182231,18.512413,18.18075,19.434149,72092847398060048
229.16764505,1.76891448,22.084494,21.620634,24.504929,68987912960
229.38867307,1.71672647,17.312872,16.807772,18.622234,35253360136208
229.30127758,1.61741498,19.100382,18.820213,20.031109,68987912704
229.33989223,1.63895392,20.464073,20.372906,20.96793,68987912704
229.30064477,1.68514748,21.730976,21.224686,23.438688,68987912192
229.38956843,1.62742156,21.677536,21.181612,23.009018,263953926197264
229.4303241,1.67535708,21.145786,20.621782,22.584003,68987912448
229.38999279,1.77618762,22.88916,22.697962,23.322931,281543964623104
229.46924471,1.66979494,16.300505,16.021973,17.125372,35255507484688
229.46885718,1.77883128,19.31822,18.951572,20.271521,68987912704
229.47055213,1.71045683,18.785114,18.520185,19.622684,68987912704
229.47130958,1.62477572,22.365982,21.767822,25.145121,316730484326672
229.55855143,1.75142076,20.643028,20.173544,21.536709,68987912192
229.47106079,1.68122849,23.103878,23.143543,24.670097,281543964623104
229.51601045,1.72370428,22.857992,22.588938,25.384047,281543964623616
229.55821155,1.68026306,21.084103,20.502951,23.229959,68987912192
229.69705821,1.65066134,15.481296,14.971876,16.937225,68987912192
229.69691233,1.62235145,17.176659,16.690357,18.477314,158398662443008
229.60557977,1.68150618,18.150459,17.874407,19.071419,35255507484688
229.60522272,1.73264022,20.855381,20.585741,21.72666,193585182015504
229.60642711,1.75281404,23.18153,22.839359,24.354374,316728370401552
229.65397433,1.74009826,21.033319,20.515644,22.31995,68988043264
229.65357637,1.61375047,21.247561,20.648031,22.336691,105622104309776
229.69673663,1.59753421,23.0662,23.085794,24.850559,281543964623104
229.69815465,1.64623774,23.636524,23.121841,25.371809,422281453110016
228.90804051,2.10171876,15.447807,14.999661,16.785725,68987912192
228.95421205,2.21333605,15.830649,15.343811,17.288177,68988043264
228.90975232,2.09387385,19.415253,19.119093,20.256166,68987912704
228.95423417,2.11248024,24.972494,24.693949,25.396803,316730484196112
228.95294526,2.02885307,22.236202,22.048372,23.666296,68987912192
229.08094164,2.14991902,16.703346,16.15173,18.2164,35255507619856
229.08244274,2.21030001,18.102011,17.71443,19.185268,68987912192
229.08104889,2.1239872,22.296049,22.218023,22.863596,281543964623104
229.21181529,2.01953799,17.469753,17.056993,18.811947,68987912192
229.25879494,2.12621915,15.4798,15.188359,16.42244,35255507484688
229.25942541,2.09912396,16.530024,16.024431,17.47126,158398662443520
229.2125926,2.12580683,19.519855,18.963547,20.80736,68987912448
229.16835634,2.20103776,20.532217,20.257809,21.313318,68987912192
229.25856343,2.15165967,20.126686,19.722439,21.061592,68987912192
229.16722481,2.05768353,21.293133,21.070292,22.221264,105622104178704
229.16968368,2.01849188,20.640263,20.092171,21.896881,68987912192
229.25875274,2.08811028,21.197548,20.812462,22.000956,68987912960
229.2989129,2.05466065,17.010181,16.610998,18.405046,35255507615760
229.30084577,2.07855124,16.669863,16.329447,17.774612,35255507615760
229.33759419,2.0465756,17.343321,16.970032,18.476091,35255507615760
229.4312545,2.0570258,19.4578,19.168976,20.452303,35253360132112
229.29893183,2.10339994,19.228931,18.977558,20.278465,158398662443520
229.33932218,2.12395085,19.122477,18.824039,20.004208,68987912192
229.38810672,2.20562866,18.087183,17.806448,19.072386,35253360001040
229.3884291,2.20297182,19.605497,19.326593,20.538834,35253360001552
229.43153341,2.17669929,18.448627,18.264761,19.239174,68987912704
229.43049884,2.12893184,18.554724,18.335625,19.48514,68987912704
229.43097297,2.02049182,21.056507,20.627062,22.437384,35253360132624
229.43241254,2.13290554,19.882206,19.439213,20.786911,35253360001552
229.43163068,2.09550219,18.110352,17.83683,19.079588,72092847397928976
229.43217972,2.09667002,20.642324,20.169678,21.869762,72092847431483920
229.4323817,2.08921557,19.814407,19.492771,20.909056,72057663025840128
