#distance (kpc), blue-in-blue, b-y, b-r; y-b, y-y, y-r; r-b, r-y, r-r
69.0	20.75	8.48	6.47	565.78	365.23	408.98	17.98	10.86	44.54
70.0	21.39	8.7	6.04	565.55	361.93	409.73	18.92	10.92	44.74
71.0	21.38	8.59	6.41	566.9	353.68	414.23	18.67	11.03	44.42
72.0	20.56	8.64	6.36	569.56	346.94	419.53	18.8	10.94	44.51
73.0	20.43	9.01	6.79	572.99	342.6	419.44	19.21	10.1	42.91
74.0	20.8	8.35	6.72	572.18	338.05	422.76	19.8	10.67	43.95
75.0	20.83	8.3	6.48	574.06	329.12	425.89	20.01	9.53	43.62
76.0	20.77	7.78	6.71	578.67	326.4	431.73	20.04	10.46	44.02
77.0	20.67	8.0	7.14	571.88	319.32	436.39	19.89	10.2	44.58
78.0	20.48	8.34	7.04	578.03	316.64	437.34	20.59	9.77	44.19
79.0	20.19	8.31	7.14	580.79	309.41	439.75	20.4	9.83	43.53
80.0	20.65	7.94	7.17	581.05	307.36	443.31	21.1	9.7	42.78
