#ra,dec,dered_g,dered_r,dered_u,flags
250.39838854,37.16936904,19.475763,18.962658,20.900211,68987912704
250.53844264,37.06319391,15.576423,14.580597,18.043686,68988043264
250.53902685,37.04905538,15.645041,15.286782,16.855833,35255507484688
250.53916284,37.02923255,16.706514,16.34897,17.907999,35255507619856
250.53886199,37.03782506,17.957987,17.049707,20.158939,35253360132112
250.56968369,37.00346647,19.366226,18.695606,21.27006,68987912448
250.60349202,36.97410572,21.848005,20.907591,24.741369,2416187539968
250.69647857,36.85661003,20.993013,20.471489,21.977421,68987912192
250.83088573,36.73344372,15.898614,15.4287,17.368732,35255507619856
250.83133251,36.73147166,18.726252,18.454845,19.748936,144150441435987984
250.72967596,36.65569332,15.628618,15.149773,17.02371,69055021128
250.73031196,36.61557907,14.334615,13.632124,16.182476,35221147881560
250.86336984,36.68164545,17.523806,17.128414,18.728336,17661174087680
250.86281398,36.63824876,17.192986,16.791407,18.432955,35253393686544
250.79759687,36.56936236,17.084211,16.766272,18.092335,35253395259412
250.79951572,36.69578477,18.64208,18.286228,19.598774,68987912192
250.76287345,36.59829864,19.988485,19.60837,20.878796,158398662447104
250.67175351,36.60805785,20.900415,20.373262,21.90847,158398662443264
250.79768824,36.68102843,20.489843,20.193707,21.244633,68988043776
250.76301578,36.65637473,22.515331,21.667904,23.933081,35289867223312
250.67061828,36.5886167,21.391281,21.003233,22.206736,68987912448
250.83056193,36.67971988,21.900282,21.516247,23.202477,68987912960
250.69742058,36.59056754,21.23037,20.609549,22.568094,68987912448
250.69656144,36.56717994,21.68964,21.078176,24.426584,68987912448
250.86376432,36.62742702,21.186253,20.729437,24.127865,20042733453312
250.76261564,36.62556425,23.018248,22.192108,23.47201,281543964623104
250.86344103,36.64303528,22.974171,22.126938,24.583267,281543964754176
250.96533023,36.49127562,22.723461,22.346498,24.134867,105622138130704
251.02762311,36.48951814,19.443712,18.766527,21.068151,35253360398608
251.06171647,36.49521313,15.201851,14.813365,16.362764,35255507619856
250.92554299,36.58723789,18.187178,17.494202,19.826605,158398662443008
250.99772302,36.49836464,19.436335,19.075474,20.609142,68987912192
251.08980686,36.45466759,18.375708,17.617516,20.352036,68988043264
250.96517155,37.27175493,19.514763,18.948448,21.047249,35253360136208
250.99718628,37.24145368,19.786333,19.299875,21.127645,35253360132112
251.06009161,37.21505433,16.971876,16.327635,18.752079,68987912704
251.06019595,37.16310918,19.6409,19.403324,20.681698,68987912192
251.15186742,37.11254365,23.126049,22.397526,24.802961,35289900908888
249.71803703,37.29796744,17.616499,17.134998,18.887148,68987912192
249.71686275,37.26215324,19.911303,19.62665,20.70274,35287720394772
249.80952575,37.17289712,17.88891,17.56189,18.763695,68988043776
249.96355068,37.25075738,15.137797,14.729466,16.389866,35255507619856
249.93288449,37.2723058,22.045368,21.689949,23.28756,68987912192
249.80923037,37.18983515,22.141907,21.608597,23.028463,68988043520
249.96355864,37.2070574,18.275387,18.030476,19.145445,158398662443008
249.87436613,37.15518479,19.059622,18.246803,21.092627,52845579731472
249.96514921,37.19718027,19.429279,18.81657,20.870852,35255507484688
249.90618619,37.08653401,18.033407,17.357424,19.849197,193583068086288
249.99581074,37.09550844,19.283791,18.467932,21.112686,35253360001040
249.96480445,37.22336263,21.736153,21.325891,22.235697,68987912448
250.02809439,37.14329667,22.94243,22.096344,23.483637,140806476398592
249.99495746,37.05958064,15.505747,15.140098,16.646948,68988043264
250.09233451,36.98668566,13.756972,13.077158,15.177693,483856252014608
250.09236492,36.99005588,24.022297,23.239346,25.125214,387097114841360
249.99535818,37.01845283,18.240532,17.747938,19.595224,68987912192
250.0626744,37.04546736,18.233149,17.759087,19.511641,35255507615760
250.12813154,37.07339268,20.098112,19.397776,21.724819,35253360132112
250.0274683,37.06268288,21.89975,21.447966,23.149309,68987912192
250.09086763,37.07438968,22.264599,21.876467,22.882298,68987912704
250.15171913,37.02863503,22.115229,21.178972,24.504101,35253360132880
250.15170418,37.03279148,23.619923,22.743513,24.290258,105622137864464
250.09135699,36.99447692,23.075144,22.361536,25.50605,68987912448
250.02750122,37.00101331,23.45879,23.172697,25.356804,281543964754176
250.18145413,36.97328445,15.288452,14.799059,16.609394,35255507619856
250.18136077,36.94107348,16.090605,15.44088,17.829615,35255507619856
250.21604094,36.95403664,22.845346,21.957621,25.61883,35253394739472
250.15185341,36.8856643,16.032244,15.526842,17.562994,158398662443008
250.12842006,36.91968272,19.659601,18.900162,21.348469,68987912704
250.1808434,36.9052269,18.728941,18.254503,19.92642,68987912192
250.18069648,36.85698527,18.010208,17.293665,19.843693,68988043264
250.24174445,36.9367834,21.702509,21.44573,22.914791,68987912448
250.24147228,36.90520934,22.319086,21.415216,24.214451,68988044032
250.15095945,36.84943342,21.663643,21.335545,23.252048,68987912192
250.24186707,36.89486726,22.467724,22.240082,25.107338,35253360001296
250.18065543,36.85205216,22.64386,21.912462,23.478369,68987912448
250.24165635,36.92170766,23.361406,22.785992,24.236807,281543964623104
250.24245564,36.79295079,19.848261,19.478411,20.732229,52845546180624
250.33326333,36.77327186,23.060596,22.428284,24.255247,35255541039376
250.3989079,36.77074571,19.499033,19.134531,20.418638,35253360001040
250.29603377,36.72199401,20.560335,20.119322,21.447248,68987912192
250.29743475,36.87689391,22.67062,22.057255,23.565063,475064453693712
250.18018487,36.76486691,22.567173,21.654699,25.19644,105622104178960
250.26762643,36.71789077,21.625984,21.107035,23.170769,68988043264
250.3995266,36.77653318,22.242054,21.848608,25.033478,79792574792
250.3352494,36.72542885,21.324444,20.692381,22.278254,68987912448
250.33499853,36.71734706,21.263134,20.656008,22.177258,105622104179216
250.29744326,36.65653719,17.875443,17.46977,18.922791,193583034535952
250.33396021,36.61726674,20.1915,19.764294,20.987345,35253360132112
250.36464481,36.60190042,15.646468,15.091454,17.084061,35253360660500
250.39918952,36.58605766,15.69454,15.12545,17.06407,193583035060244
