# l,b,dered_u,dered_g,dered_r,dered_i,dered_z
331.481201933039,80.3302717064612,21.13092,19.43392,18.89175,18.69321,18.66369
331.47651867535,80.3295681682488,22.93637,21.98689,21.66869,21.50517,21.16078
331.284767768098,80.3287570387003,20.85887,19.93674,19.73355,19.59385,19.65798
331.672689696706,80.3992230080678,21.76865,20.89832,20.66395,20.52627,20.43412
331.92394920957,80.4180131498606,21.72774,21.51152,21.17737,21.08053,21.71961
331.323213155297,80.3390266127928,23.90263,22.84913,22.34256,21.85815,22.90481
331.661937291941,80.3924693097445,22.5498,21.91471,21.36199,21.03446,20.85046
331.545258982408,80.3570783702696,23.18926,22.22492,22.25342,21.83634,22.5484
332.439140137096,80.2252281939085,22.35493,21.98231,22.04519,22.77234,22.7933
332.153227731405,80.1960653278829,20.65638,19.35946,18.84649,18.65169,18.54228
332.341340166358,80.1952571050244,20.85307,19.40304,18.84063,18.60323,18.60506
331.620492169267,80.2537539073262,23.69824,22.12905,21.61922,21.51619,21.12741
331.75935111247,80.2424548123445,22.62782,21.84049,21.5729,21.52523,21.1438
332.276603260639,80.3516581396699,23.19534,22.1846,22.22437,22.33301,22.62314
332.519922863238,80.2524624773727,22.71856,22.36215,22.14427,21.63455,21.61397
331.768750217935,80.3026281135114,23.71175,23.41794,22.88906,22.71906,21.42925
333.049172270672,80.3151814001356,18.24053,17.09614,16.69477,16.55388,16.52538
333.044453628516,80.3143058014892,20.61639,19.44806,19.36926,19.40492,19.46745
332.706822776622,80.2606480149677,20.14099,19.33609,19.02589,18.89675,18.86604
333.11770864861,80.2771745679128,20.68876,19.86585,19.53213,19.41226,19.37671
332.951108441344,80.282131110943,21.30587,20.18312,19.78337,19.58352,19.60832
332.978085181377,80.3513210444896,22.85424,21.67167,21.2384,21.00809,20.809
333.114811835566,80.3318944531985,24.11362,22.63183,22.22337,21.84927,21.79178
333.164597808832,80.2917240074951,22.55244,22.51453,22.1056,21.94853,21.20191
333.413862123121,80.2532885171236,24.11548,23.05284,22.62017,22.13894,21.56179
332.550381503232,80.2141295280563,23.5099,23.37033,22.82478,22.78266,21.6192
333.916122970238,80.1298714054278,17.71133,16.70944,16.30921,16.13409,16.06554
333.492884033682,80.0507675818835,19.68312,18.67689,18.39971,18.27083,18.25342
333.953546641332,80.1979358751178,23.72412,23.69587,23.11026,24.43227,22.3224
333.778632614079,80.0836675941977,21.70525,21.03033,20.62146,20.42204,20.46088
333.286045200563,80.0973402589253,23.14375,21.92848,21.71962,21.55071,21.99947
334.115654200119,80.192009599858,23.21194,21.92158,21.4489,21.43303,21.8679
334.058739031817,80.1758386318647,23.45133,22.39652,22.43293,22.04706,23.02339
334.03589066955,80.1126630521168,22.27399,21.12447,20.74099,20.54027,20.579
333.513803682598,80.2245081677931,24.10448,23.30786,22.99747,23.17312,22.15174
333.437699377099,80.0917044553274,23.57443,23.10608,22.68082,22.72545,22.24828
333.687744266358,80.0557001974105,24.84438,23.00674,22.51152,22.31355,21.2966
