85.000,2.000,7.000,2.000,2.000,10.000,1.000,1.000,1.000,1.000,1.000
95.000,1.000,0.000,0.000,3.000,4.000,1.000,1.000,1.000,1.000,1.000
105.000,0.000,3.000,1.000,4.000,6.000,1.000,1.000,1.000,1.000,1.000
115.000,1.000,2.000,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000
125.000,5.000,4.000,6.000,7.000,9.000,1.000,1.000,1.000,1.000,1.000
135.000,17.000,16.000,8.000,8.000,9.000,1.000,1.000,1.000,1.000,1.000
145.000,8.000,7.000,12.000,16.000,16.278,1.000,1.000,1.000,1.000,1.017
155.000,12.000,7.000,15.000,2.333,10.636,1.000,1.000,1.000,2.333,2.659
165.000,1.000,4.000,6.000,8.514,4.500,1.000,1.000,1.000,1.703,2.250
175.000,3.000,3.000,6.000,5.164,0.000,1.000,1.000,1.000,1.033,1.539
