# ra, dec, dered_g, dered_r, dered_u, flags
229.44038963,2.05395809,20.3183631897,19.9116897583,21.1857299805,301989904.0
229.44441969,2.13254925,20.7752914429,20.2958602905,21.7606754303,268435968.0
229.44004835,2.14078776,21.220205307,20.6322479248,22.7038917542,268435456.0
229.48690275,1.94109741,20.6795043945,20.1970539093,22.3431072235,68987912208.0
229.46976292,1.96801162,18.0665531158,17.7292747498,18.9912967682,68988043280.0
229.48870595,1.94090088,21.3926544189,20.9601230621,23.7027244568,7.21279995913e+16
229.47795216,1.97966309,18.2018623352,17.8211250305,19.0527820587,71169081360.0
229.4598102,1.99425013,19.6762104034,19.3364505768,20.5649700165,68987912192.0
229.46691592,1.9786733,19.5575428009,19.2231330872,20.3428497314,68987912208.0
229.46896443,1.98084341,20.0873374939,19.7101516724,20.9197387695,1.58398662443e+14
229.47628376,1.95390973,20.4955024719,20.0827655792,21.6255683899,68988043536.0
229.47798157,1.95142888,21.0818347931,20.5378398895,22.14220047,7.04377320901e+13
229.48091528,1.98149651,19.4705905914,19.1521968842,20.4033889771,68987912720.0
229.47576273,1.95540738,21.6147975922,21.0244369507,22.4947128296,7.04377322213e+13
229.49179198,1.98610999,19.8301486969,19.5121536255,21.0543308258,302120976.0
229.48896658,1.98925951,19.5861034393,19.2138996124,20.3909130096,103347650576.0
229.48709884,1.98420955,19.6964454651,19.2968654633,20.4733428955,1.58398662443e+14
229.49506254,1.98068367,20.5023956299,20.0014305115,21.2787971497,69021466640.0
229.48780882,1.97114739,21.2256546021,20.6670055389,22.5830402374,71135395856.0
229.4880917,1.96182669,20.2518844604,19.8086299896,21.2284564972,68987912208.0
229.47778112,1.99311483,21.1507892609,20.5706291199,21.791929245,68987912192.0
229.47931926,1.95506765,24.2363948822,23.8891716003,24.9834938049,4.22283634148e+14
229.49816266,1.93703493,18.114812851,17.8162059784,18.9969730377,68988047376.0
229.50652088,1.93447597,18.5094738007,18.2377548218,19.3581352234,68988043280.0
229.50034346,1.98582786,18.3047580719,18.0361709595,19.2309856415,68988043280.0
229.50194425,1.96404733,21.5881004333,21.0138339996,23.2789802551,68988043280.0
229.50237718,1.97672355,16.85846138,16.2908782959,18.1611232758,71135395856.0
229.50170381,1.97845575,19.923500061,19.58685112,20.6145973206,69021466640.0
229.50687518,1.97110535,14.7964630127,14.2305679321,16.343000412,1.67194755732e+14
229.50228042,1.96603127,19.4092445374,19.1064586639,20.2226257324,71135526928.0
229.50015132,1.96357269,21.1078586578,20.5145053864,21.999994278,7.04377322213e+13
229.51536675,1.98890054,18.5884666443,18.2934112549,19.4324703217,71135395856.0
229.51445816,1.99132016,19.8889503479,19.5507297516,20.724445343,69021466640.0
229.51305626,1.99048052,20.755739212,20.2931232452,21.9912242889,68987912208.0
229.51571001,1.98097072,19.8989429474,19.5673370361,20.8822669983,69021466640.0
229.51827844,1.97854766,16.9156074524,16.6006069183,17.8751106262,68988043280.0
229.51657364,1.97724269,20.5312786102,20.089263916,21.3550834656,68987912720.0
229.51839612,1.98375911,18.8741207123,18.6273937225,19.7071800232,68988043280.0
229.51442912,1.98020282,21.0541324615,20.4726295471,22.1482181549,7.04377320899e+13
229.52342399,1.96823977,22.3119773865,21.8085441589,22.9657306671,68987912720.0
229.51957782,1.99037373,20.8787593842,20.4475650787,22.0831794739,68987912280.0
229.51990483,1.98868391,19.6823806763,19.3967266083,20.468421936,68987912208.0
229.52230544,1.98336569,19.6966953278,19.3691387177,20.4937152863,68988047376.0
229.52337852,1.982696,20.3657474518,20.022769928,21.5773200989,1.76611740877e+13
229.51769016,1.98601338,20.7656097412,20.3003807068,21.9281921387,68987912208.0
229.53464105,1.98140152,14.4670352936,13.869846344,15.9675998688,1.67194755731e+14
229.54131261,1.9799803,18.169631958,17.9051856995,19.0545825958,68988043280.0
229.53925633,1.98020135,18.45952034,18.2388477325,19.3845005035,68988043280.0
229.53048991,1.98622183,19.4630126953,19.2126197815,20.3820896149,69021597712.0
229.52921239,1.98221675,19.4004364014,19.1542987823,20.3079204559,68988043280.0
229.52941669,1.97801625,19.6489906311,19.3921127319,20.7357692719,68988043280.0
229.53772336,1.97946148,19.6098918915,19.2662677765,20.428768158,68988043280.0
229.53841432,1.98270884,20.0452842712,19.6841964722,21.2075157166,1.58398662447e+14
229.53341233,1.9844144,20.3662815094,20.1070919037,21.217962265,1.58398695997e+14
229.62203096,1.96193526,14.8314580917,14.8770484924,16.0521831512,3.52533942108e+13
229.56203173,1.98953456,14.7996206284,14.8492145538,16.0134868622,3.52533606564e+13
229.5303213,1.97552058,20.1741600037,19.8056125641,21.1349239349,68988043792.0
229.6151546,1.97137567,14.3193426132,13.9621391296,15.4060096741,2.72747872518e+14
229.59686556,1.98786085,15.4255971909,14.8859424591,16.0882720947,5.54222849233e+14
229.54021277,1.97887148,20.1114768982,19.7835388184,21.0752086639,69021597712.0
229.53537028,1.98289955,20.4513015747,19.9294815063,21.2630939484,7.20575943065e+16
229.60331387,1.95584663,15.0736055374,15.3115291595,16.1714229584,1.93583035056e+14
229.53342018,1.94794134,19.2686481476,19.0202026367,20.1268119812,1.58398662443e+14
229.61491631,1.97714596,15.9014463425,15.5422906876,17.0033473969,3.52533606564e+13
229.5426672,1.98422925,19.684015274,19.3548583984,20.7031154633,1.40806476399e+14
229.54279769,1.9537686,21.2917385101,20.8145141602,22.6751232147,7.04377327452e+13
229.54416669,1.95634774,18.3794307709,18.062871933,19.2818584442,68988568080.0
229.54282391,1.95519538,18.4167823792,18.1878490448,19.2628250122,68988567568.0
229.54059548,1.95509732,18.9256458282,18.7035484314,19.7917881012,68988567568.0
229.54068774,1.95833135,20.3238430023,19.9212989807,21.4198303223,69022122000.0
229.54021559,1.96279544,20.0425014496,19.6877536774,21.0099868774,68988567568.0
229.54909169,1.96570912,18.6254787445,18.422246933,19.6286125183,68988043280.0
229.54971389,1.96450715,20.2187919617,19.970249176,21.3311920166,69021466640.0
229.52899783,1.92506945,18.334104538,18.0688457489,19.2297210693,68987912192.0
229.53698455,1.96955681,15.4709262848,14.8970050812,17.1233272552,71135526928.0
229.53685097,1.97219386,20.3576564789,20.0139904022,21.5626010895,68988043280.0
229.53218936,1.94911376,14.9885339737,15.2142114639,16.113401413,71135526928.0
229.5378316,1.97258886,22.4872245789,22.2316818237,23.8417625427,7.04377656446e+13
229.54913866,1.9145981,18.639377594,18.4264564514,19.5512123108,68987912208.0
229.54915909,1.91519915,19.4600658417,19.1649742126,20.4200878143,7.04377320899e+13
229.55265997,1.96144761,18.7113361359,18.4866638184,19.5951480865,68988043280.0
229.54888397,1.96220156,19.6241073608,19.3507404327,20.6054801941,68987912208.0
229.55127791,1.96240984,19.9497261047,19.6259250641,21.0162677765,68987912208.0
229.55410545,1.96873334,18.4097995758,18.2153244019,19.3576889038,69021466640.0
229.55620324,1.9696658,19.0831203461,18.8159217834,19.8654308319,7.20575943399e+16
229.55663333,1.9718523,19.7204036713,19.4473190308,20.5692806244,69021466640.0
229.55825876,1.96988128,21.0496292114,20.5751457214,23.4731407166,7.04377322209e+13
229.55843944,1.96897152,22.0727176666,21.5708255768,23.5162334442,68987912976.0
229.55396407,1.94727034,16.8859176636,16.3798389435,18.1700763702,1.58398662443e+14
229.55905257,1.95181303,18.5351276398,18.3185920715,19.4101352692,1.58398662443e+14
229.56138412,1.9522178,19.0872268677,18.8859806061,20.0855445862,71169085456.0
229.56082489,1.95199693,20.5820026398,20.0986194611,22.0344696045,2.28767406625e+14
229.56810918,1.97371561,20.2706394196,19.9452495575,21.3475837708,68987912208.0
229.56143699,1.93660784,16.2539978027,15.8247327805,17.4586982727,71135395856.0
229.55937892,1.94029744,18.0494117737,17.7442378998,19.0165634155,68987912208.0
229.5635441,1.94118561,19.3352794647,19.0606307983,20.3192863464,69021466640.0
229.55837728,1.9349053,20.0443706512,19.7771244049,21.2218017578,69021466640.0
229.55643818,1.9333671,21.0081329346,20.4970397949,22.2503871918,2.28767406621e+14
229.55519664,1.93343844,21.1815032959,20.7112674713,22.2986717224,2.28767406621e+14
229.56270771,1.93953699,21.5369949341,20.9421348572,22.2639636993,68987912208.0
229.55993085,1.94125337,22.1950950623,21.8661766052,25.8301067352,68987912464.0
229.56066666,1.91938766,18.4533843994,18.2079372406,19.3521404266,68987912208.0
229.56136382,1.97642987,19.1851520538,18.9484634399,20.0448474884,7.20576630258e+16
229.5602344,1.97531968,19.5463466644,19.3660926819,20.5057239532,69021466640.0
229.56003595,1.97586823,20.1192207336,19.6574935913,21.1897640228,7.04377656443e+13
229.5594963,1.97315678,20.681137085,20.3576831818,21.831445694,68987912208.0
229.55947319,1.97407301,20.6416110992,20.2450942993,21.8013305664,68987912208.0
229.56074566,1.97928077,21.4240570068,20.8582210541,22.8599834442,7.04377322212e+13
229.56640001,1.95219368,19.5860328674,19.3306732178,20.6263065338,69021597712.0
229.56289357,1.9777483,18.5797557831,18.3537483215,19.5337905884,1.58400843481e+14
229.567916,1.97446972,19.1984348297,18.965215683,20.1119060516,69021466640.0
229.56841627,1.94793236,17.8991146088,17.4808654785,19.0340499878,71135526928.0
229.57280531,1.94426771,19.1215057373,18.8669376373,20.0628318787,69021466640.0
229.56826956,1.95072892,19.4777202606,19.1743144989,20.3150558472,69021597712.0
229.56379724,1.9457796,20.5358276367,20.0652580261,22.2624092102,7.04377320899e+13
229.56468101,1.94843014,20.6367778778,20.4496078491,21.1391468048,7.04377320899e+13
229.56850827,1.94590983,22.1478157043,21.6308326721,24.744682312,7.04377320901e+13
229.58196076,1.92575086,18.031496048,17.570098877,19.3204441071,71135395856.0
229.58110258,1.9284101,20.100976944,19.6666202545,21.1625347137,68987912208.0
229.58433094,1.93372948,18.3203849792,18.0767841339,19.2785358429,71168950288.0
229.58168393,1.94027899,22.0686035156,21.6957607269,24.3886108398,7.04377320906e+13
229.58785825,1.93003596,18.4696044922,18.2430381775,19.3211956024,69021597712.0
229.58532914,1.93304753,18.405210495,18.1548919678,19.3306560516,68988043280.0
229.58528182,1.93551267,20.6124076843,20.2111701965,21.8473491669,7.20576630258e+16
229.58572686,1.93031227,20.8679027557,20.4758110046,21.7445240021,68988043792.0
229.58547784,1.94232458,17.8856945038,17.6375789642,18.8585224152,68987912208.0
229.58134759,1.94741648,18.5958614349,18.3590717316,19.4560108185,68988043280.0
229.58645061,1.94846028,18.6669940948,18.4665908813,19.5214080811,69021466640.0
229.58385696,1.94698558,19.6303539276,19.3672275543,20.5601539612,68988043280.0
229.58641278,1.94900747,19.7012386322,19.4198989868,20.7736587524,7.21280318036e+16
229.58765839,1.89203547,19.3341751099,19.1538257599,20.2848377228,69021466640.0
229.58667912,1.89190863,20.6802272797,20.2629680634,21.6535835266,68987912752.0
229.58242043,1.94752691,20.3781471252,20.0020427704,21.4755783081,69021466640.0
229.58414121,1.94385643,21.7986564636,21.2317047119,25.3368759155,7.04377320901e+13
229.5996449,1.92818475,19.4696769714,19.2418384552,20.3022289276,68988043280.0
229.5983664,1.93154353,18.2665290833,18.0442905426,19.1857337952,68988043280.0
229.61653753,1.93492007,19.1364803314,18.9080944061,20.0696811676,7.20576630594e+16
229.61377914,1.94278218,20.6977386475,20.3533744812,22.1435775757,7.0437732225e+13
229.59911152,1.93131386,20.8743801117,20.3487491608,22.4066772461,7.04377322209e+13
229.59833906,1.9086398,18.1962966919,17.9449863434,19.0873966217,68988043264.0
229.61443184,1.93616355,18.0454959869,17.7611198425,18.9422550201,7.20576630258e+16
229.61548656,1.93369153,19.4093990326,19.2008781433,20.2960186005,69021466640.0
229.61504759,1.94284752,19.4642925262,19.2026844025,20.4986095428,7.2057663026e+16
229.60668804,1.92837635,14.8990087509,15.0273809433,16.1154747009,71135526928.0
229.6049401,1.92800931,19.8918743134,19.6126213074,20.7178077698,69021597712.0
229.59577646,1.87858367,16.4735908508,16.0457229614,17.6253852844,68988047376.0
229.59700539,1.90228977,17.0996227264,16.5995407104,18.285243988,71135395856.0
229.59851336,1.90274178,19.9902114868,19.7271022797,20.9676094055,69021466640.0
229.59513263,1.90147324,21.4514217377,20.9454231262,22.7318897247,68987912720.0
229.61686388,1.93535016,19.2463092804,18.990814209,20.3874816895,7.04377656443e+13
229.61529405,1.89747236,17.6972084045,17.245765686,18.8642158508,68988047360.0
229.62184877,1.96611476,18.0082988739,17.6814250946,19.0152416229,7.20576651733e+16
229.62092924,1.96668905,19.5269203186,19.246591568,20.37748909,7.20576630258e+16
229.62242647,1.96759326,21.0296077728,20.5653343201,22.482126236,68987912464.0
229.49865869,1.98158374,19.8769893646,19.6096019745,20.6565361023,68987912192.0
229.49908551,1.9740258,19.3645744324,19.0650882721,20.2853450775,68987912192.0
229.50076541,1.94628742,19.3985786438,19.0940074921,20.1867771149,68988047376.0
229.50216394,1.94604322,20.8580646515,20.4240570068,22.0572414398,7.04377320899e+13
229.51211906,1.96947389,20.3184604645,19.9077453613,21.5586395264,68987912192.0
229.51208383,1.96143598,20.3914318085,20.0030822754,21.4849777222,68988043280.0
229.51354421,1.92541593,20.0534687042,19.7063083649,20.9573001862,69021466640.0
229.51615274,1.91680391,19.7107334137,19.4026603699,20.8073654175,68987912208.0
229.51508492,1.93336259,20.4778327942,20.0219612122,21.5304412842,68987912192.0
229.51863687,1.94903169,20.7176685333,20.2060756683,21.9346084595,7.04377322215e+13
229.52000278,1.97604867,20.1213932037,19.7486515045,21.0486545563,68987912192.0
229.51856679,1.95525519,18.9660186768,18.7039051056,19.8193702698,68987912192.0
229.51830415,1.94840561,20.2688102722,19.8832015991,21.069486618,1.58398662444e+14
229.52256761,1.95795911,19.4789066315,19.1940937042,20.3839988708,68988043280.0
229.52112226,1.95826474,20.1751174927,19.8922996521,21.0370960236,1.58398695997e+14
229.52366806,1.95903666,21.0376377106,20.4803714752,22.3057346344,7.21280317701e+16
229.52387896,1.96615792,20.3751449585,19.9915885925,21.6540203094,69021597712.0
229.52338795,1.96414262,21.0169582367,20.4658298492,23.0372257233,7.212803177e+16
229.5236316,1.98949402,20.7236423492,20.2021598816,21.8062000275,68987912208.0
229.52385823,1.99056635,20.8833847046,20.4611339569,22.1878261566,68987912208.0
229.51978111,1.94608725,19.7730236053,19.4411144257,20.6884860992,68987912208.0
229.53337059,1.97260541,19.712184906,19.388343811,20.6303787231,68987912208.0
229.53867368,1.94893526,19.5159549713,19.2290267944,20.4272022247,68987912208.0
229.53731656,1.9502612,19.8288879395,19.4991760254,20.7653217316,69021466640.0
229.53686139,1.96504879,19.4659938812,19.1650371552,20.4014053345,68987912208.0
229.54037784,1.946861,20.4373130798,19.9666290283,21.2607860565,7.2057663026e+16
