#dered_u,err_u,psfMag_u,psfMagErr_u,extinction_u
21.2239055633545,0.102045081555843,21.5202617645264,0.0979926139116287,0.285173267126083
17.294361114502,0.00936917867511511,17.5650386810303,0.015929976478219,0.285020232200623
24.4681568145752,0.753572583198547,24.6064071655273,0.744287192821503,0.284104585647583
22.5059776306152,0.30652442574501,22.7994918823242,0.276449382305145,0.285961300134659
24.0641765594482,0.763764917850494,24.3255443572998,0.460836738348007,0.286101877689362
24.1930732727051,0.789004981517792,24.5779037475586,0.757505476474762,0.285181313753128
19.993860244751,0.0416226461529732,20.2557010650635,0.0397893153131008,0.285955667495728
18.8404941558838,0.0202550608664751,19.1121006011963,0.022864056751132,0.292638897895813
18.660530090332,0.018585653975606,18.943021774292,0.0214265845716,0.287716776132584
18.6346282958984,0.0180158205330372,18.9159507751465,0.0213225875049829,0.283914566040039
19.4983692169189,0.030187102034688,19.7931842803955,0.0305820405483246,0.295357227325439
18.3209362030029,0.0154079059138894,18.6076202392578,0.0195052232593298,0.283845961093903
19.8840999603271,0.0386110953986645,20.1601810455322,0.0376529917120934,0.284924119710922
18.2191638946533,0.0144145991653204,18.4867897033691,0.0188945960253477,0.287875026464462
16.8652267456055,0.00760649750009179,17.1450672149658,0.0152089986950159,0.287650734186172
16.8487987518311,0.00766320712864399,17.1263122558594,0.0151540627703071,0.300195217132568
18.6653289794922,0.01949168369174,18.9334411621094,0.0213494971394539,0.298555880784988
19.9131965637207,0.0391415730118752,20.2131080627441,0.0383428707718849,0.291319221258163
18.4744262695313,0.0173229016363621,18.7473773956299,0.0202760268002748,0.287098050117493
18.9722766876221,0.0224169604480267,19.2546768188477,0.0241997055709362,0.285362720489502
19.2171535491943,0.0250612311065197,19.513650894165,0.0266056396067142,0.289847493171692
24.8116588592529,0.68466317653656,24.8809776306152,0.714049994945526,0.285431772470474
20.676233291626,0.0678580701351166,20.9620246887207,0.063258096575737,0.296318382024765
21.1633701324463,0.0985714271664619,21.4555950164795,0.0925656780600548,0.285265147686005
20.5839824676514,0.0638509690761566,20.8628253936768,0.0601557604968548,0.283421218395233
23.6196784973145,0.656481444835663,23.7428340911865,0.577270269393921,0.306179791688919
22.1295127868652,0.22145414352417,22.420919418335,0.204919025301933,0.286193609237671
22.3869018554688,0.268124520778656,22.448917388916,0.345823168754578,0.285675495862961
21.5271263122559,0.141602158546448,21.8457221984863,0.127471178770065,0.286717116832733
22.4660549163818,0.279593765735626,22.5835876464844,0.337092965841293,0.291862040758133
23.7930469512939,0.715245544910431,24.0355110168457,1.08100748062134,0.285753101110458
22.0633449554443,0.204153195023537,22.3595085144043,0.191631987690926,0.285839915275574
22.3412570953369,0.251298636198044,22.5563125610352,0.222768872976303,0.289872020483017
22.1999015808105,0.236353397369385,22.4417247772217,0.209308058023453,0.287903189659119
21.7859344482422,0.163889095187187,22.0785427093506,0.15055687725544,0.292943626642227
22.3974761962891,0.287498086690903,22.7646636962891,0.272760361433029,0.287479549646378
23.5995197296143,0.668943345546722,23.8830223083496,0.651267468929291,0.283229649066925
23.0460624694824,0.438940525054932,23.3013954162598,0.414465367794037,0.286026775836945
22.4411544799805,0.279638260602951,22.736629486084,0.266078293323517,0.286299049854279
22.8414478302002,0.415755391120911,23.1739177703857,0.377345114946365,0.284349262714386
22.1964225769043,0.244792178273201,22.5776977539063,0.230219140648842,0.304429054260254
24.1025466918945,0.797325849533081,24.6077785491943,0.748586297035217,0.285291939973831
23.3347015380859,0.566882252693176,23.5288963317871,0.489609718322754,0.283899813890457
23.040283203125,0.44608137011528,23.3019733428955,0.398976236581802,0.296477675437927
23.8512725830078,0.695961534976959,24.1776065826416,0.674790620803833,0.293137162923813
23.3947105407715,0.553871750831604,23.5825843811035,0.494931131601334,0.296607166528702
23.5028438568115,0.585833370685577,23.7653770446777,0.566380858421326,0.285956382751465
21.9552993774414,0.186213731765747,22.1761817932129,0.169801190495491,0.28174701333046
24.2740001678467,0.754972338676453,24.4391345977783,0.724169075489044,0.305342108011246
24.2844009399414,0.764527440071106,24.4943313598633,0.748037993907928,0.285411506891251
22.1620426177979,0.218071356415749,22.4217472076416,0.201869383454323,0.285467535257339
16.3955230712891,0.00653299503028393,16.6607780456543,0.014006637968123,0.282622307538986
22.4201126098633,0.270516067743301,22.6861171722412,0.250801384449005,0.285327434539795
23.9366836547852,0.713489770889282,24.0283470153809,0.635214388370514,0.290232121944427
18.7861137390137,0.0196802206337452,19.0693855285645,0.0222357884049416,0.283043056726456
23.6432209014893,0.731317400932312,23.6912822723389,0.547675788402557,0.28297683596611
16.8942317962646,0.0077122044749558,17.1731719970703,0.0146598136052489,0.281087636947632
19.3152084350586,0.0274203643202782,19.6093902587891,0.0281216073781252,0.282882690429688
20.1061038970947,0.0463799796998501,20.3869190216064,0.043587040156126,0.281779199838638
19.3923110961914,0.0286295171827078,19.6794719696045,0.0288447570055723,0.282007336616516
19.4666366577148,0.030296677723527,19.7484035491943,0.0300514623522758,0.282234042882919
18.3861312866211,0.0157466549426317,18.661808013916,0.0192464645951986,0.28461891412735
19.2300434112549,0.0254879873245955,19.5103340148926,0.0262453462928534,0.295942753553391
21.9195232391357,0.17960125207901,22.1079273223877,0.156537041068077,0.284220546483994
18.0366115570068,0.0130017688497901,18.3338718414307,0.0175464805215597,0.291445463895798
18.5633964538574,0.0175402201712132,18.8222923278809,0.0203238353133202,0.281255275011063
18.6766929626465,0.0184910278767347,18.9446582794189,0.0212344098836184,0.28108087182045
19.1910820007324,0.0251959469169378,19.4620399475098,0.0260849241167307,0.287491887807846
