#Please input x: 0
#Please input z: 0
#Please input ymin: -150
#Please input ymax: 150
#Please input y increment: 1
#z r g gx gy gz 
-150.000000 150.000000 200.544691 0.000000 0.000000 200.544691 
-149.000000 149.000000 201.708605 0.000000 0.000000 201.708605 
-148.000000 148.000000 202.885284 0.000000 0.000000 202.885284 
-147.000000 147.000000 204.074927 0.000000 0.000000 204.074927 
-146.000000 146.000000 205.277738 0.000000 0.000000 205.277738 
-145.000000 145.000000 206.493925 0.000000 0.000000 206.493925 
-144.000000 144.000000 207.723701 0.000000 0.000000 207.723701 
-143.000000 143.000000 208.967282 0.000000 0.000000 208.967282 
-142.000000 142.000000 210.224890 0.000000 0.000000 210.224890 
-141.000000 141.000000 211.496750 0.000000 0.000000 211.496750 
-140.000000 140.000000 212.783092 0.000000 0.000000 212.783092 
-139.000000 139.000000 214.084153 0.000000 0.000000 214.084153 
-138.000000 138.000000 215.400172 0.000000 0.000000 215.400172 
-137.000000 137.000000 216.731394 0.000000 0.000000 216.731394 
-136.000000 136.000000 218.078071 0.000000 0.000000 218.078071 
-135.000000 135.000000 219.440457 0.000000 0.000000 219.440457 
-134.000000 134.000000 220.818815 0.000000 0.000000 220.818815 
-133.000000 133.000000 222.213412 0.000000 0.000000 222.213412 
-132.000000 132.000000 223.624520 0.000000 0.000000 223.624520 
-131.000000 131.000000 225.052419 0.000000 0.000000 225.052419 
-130.000000 130.000000 226.497393 0.000000 0.000000 226.497393 
-129.000000 129.000000 227.959735 0.000000 0.000000 227.959735 
-128.000000 128.000000 229.439741 0.000000 0.000000 229.439741 
-127.000000 127.000000 230.937718 0.000000 0.000000 230.937718 
-126.000000 126.000000 232.453975 0.000000 0.000000 232.453975 
-125.000000 125.000000 233.988833 0.000000 0.000000 233.988833 
-124.000000 124.000000 235.542616 0.000000 0.000000 235.542616 
-123.000000 123.000000 237.115660 0.000000 0.000000 237.115660 
-122.000000 122.000000 238.708304 0.000000 0.000000 238.708304 
-121.000000 121.000000 240.320899 0.000000 0.000000 240.320899 
-120.000000 120.000000 241.953802 0.000000 0.000000 241.953802 
-119.000000 119.000000 243.607380 0.000000 0.000000 243.607380 
-118.000000 118.000000 245.282007 0.000000 0.000000 245.282007 
-117.000000 117.000000 246.978068 0.000000 0.000000 246.978068 
-116.000000 116.000000 248.695956 0.000000 0.000000 248.695956 
-115.000000 115.000000 250.436075 0.000000 0.000000 250.436075 
-114.000000 114.000000 252.198838 0.000000 0.000000 252.198838 
-113.000000 113.000000 253.984669 0.000000 0.000000 253.984669 
-112.000000 112.000000 255.794002 0.000000 0.000000 255.794002 
-111.000000 111.000000 257.627283 0.000000 0.000000 257.627283 
-110.000000 110.000000 259.484969 0.000000 0.000000 259.484969 
-109.000000 109.000000 261.367530 0.000000 0.000000 261.367530 
-108.000000 108.000000 263.275446 0.000000 0.000000 263.275446 
-107.000000 107.000000 265.209213 0.000000 0.000000 265.209213 
-106.000000 106.000000 267.169337 0.000000 0.000000 267.169337 
-105.000000 105.000000 269.156341 0.000000 0.000000 269.156341 
-104.000000 104.000000 271.170759 0.000000 0.000000 271.170759 
-103.000000 103.000000 273.213144 0.000000 0.000000 273.213144 
-102.000000 102.000000 275.284060 0.000000 0.000000 275.284060 
-101.000000 101.000000 277.384090 0.000000 0.000000 277.384090 
-100.000000 100.000000 279.513834 0.000000 0.000000 279.513834 
-99.000000 99.000000 281.673908 0.000000 0.000000 281.673908 
-98.000000 98.000000 283.864946 0.000000 0.000000 283.864946 
-97.000000 97.000000 286.087603 0.000000 0.000000 286.087603 
-96.000000 96.000000 288.342551 0.000000 0.000000 288.342551 
-95.000000 95.000000 290.630486 0.000000 0.000000 290.630486 
-94.000000 94.000000 292.952122 0.000000 0.000000 292.952122 
-93.000000 93.000000 295.308198 0.000000 0.000000 295.308198 
-92.000000 92.000000 297.699475 0.000000 0.000000 297.699475 
