#ra,dec,dered_g,dered_r,dered_u,flags
205.37968902,28.32850824,21.490711,21.058336,22.366552,105622104309776
205.37782896,28.3234682,21.320192,20.812603,24.006775,105622104310032
205.38832953,28.38577994,15.536226,14.839914,16.996943,193583036370964
205.37615194,28.36589264,15.85972,15.18655,17.383875,193583036370964
205.38219058,28.40301575,16.432804,15.479855,18.306252,35219001970780
205.38058458,28.3762368,16.654657,16.071035,17.996386,35253395259412
205.38108781,28.32684096,21.400684,20.916597,23.437468,105624251793424
205.37977232,28.32600194,19.863777,19.567112,20.725117,193583068086288
205.39199768,28.38768126,19.239647,18.985994,20.200195,35253395259412
205.37818576,28.32879748,20.034176,19.761499,21.106638,35253393686544
205.37587045,28.32529283,20.034222,19.760231,21.342926,35253393686544
205.38078444,28.34982709,18.484798,17.99991,19.546278,35253395259412
204.85566669,28.40250161,18.952175,18.399544,20.386927,68987912192
204.66496596,28.32456633,22.54475,22.105785,23.716633,72057697385578752
205.38252553,28.353931,18.895006,18.613661,19.838945,35253395259412
205.39802487,28.38986931,19.008692,18.736877,20.020357,52845581303828
205.3795853,28.32052349,21.565605,20.964643,23.425537,35253360132112
205.39246054,28.33617467,20.258671,19.934341,21.129169,35253393686544
205.39466069,28.33992545,22.542515,21.812698,24.450327,35253360136464
205.39760513,28.33413572,22.751091,22.017557,24.783117,105622137864536
205.38009388,28.30713782,17.334934,16.806423,18.574568,35253360132624
205.38019693,28.30353496,19.485867,19.181587,20.42742,35253393690640
205.38084598,28.30039955,19.999359,19.693604,20.962093,35253393686544
205.3819619,28.30503972,20.248852,19.968836,21.102909,35253360136208
205.38239894,28.29995708,20.428284,20.081978,21.440397,35253393686544
205.38164563,28.30781027,21.601561,21.173218,22.832407,105622104313872
205.37932281,28.30175332,21.720602,21.184046,24.367071,35253360136976
205.39600257,28.31724136,18.882532,18.604839,19.875601,35253393555472
205.39702575,28.31507013,20.060135,19.757837,20.908985,35253393555472
205.39175416,28.31523113,20.767073,20.409594,21.83848,35253360136208
205.39168535,28.31292845,20.907026,20.494459,21.995081,35253360136208
205.39809333,28.31792646,21.32963,20.750425,23.28397,105622104313872
205.39212087,28.31839773,21.364313,20.797705,23.572676,105622104314128
205.3969955,28.33050238,15.830977,15.335395,17.040279,35255507619856
205.39250474,28.33416824,16.965227,16.453135,18.117607,35253393690640
205.39621336,28.33640991,18.625793,18.199995,19.618586,35253393686544
205.3961517,28.35388903,19.178551,18.965431,20.144289,35253395259412
205.38463629,28.41142342,18.963953,18.672421,19.938953,35219035521116
205.39712804,28.36382019,18.882603,18.67374,19.878672,35253395259412
205.39282384,28.3631372,19.068396,18.803333,19.979427,52845547749396
205.39194377,28.33789135,19.244953,18.985466,20.197363,35253393686544
205.39335721,28.28852465,23.042439,22.117039,23.638252,35253394211088
205.38756368,28.29347133,22.920334,22.19335,24.418468,105622138388496
205.39760905,28.29388757,23.728748,22.810787,24.464872,105622138654992
205.39361421,28.34106028,20.83445,20.445042,21.729706,35253360132368
205.38898302,28.33571398,21.160671,20.657682,22.056892,35253360136208
205.39789222,28.33237602,23.287134,22.417355,24.114498,72092847431618832
205.39533441,28.34035752,23.118647,22.176167,24.905289,105622137868560
205.39672918,28.33786611,23.029419,22.051434,24.367004,35253393690896
205.38370835,28.28243268,17.220579,16.698692,18.437712,68987912192
205.37633578,28.24286873,15.360149,14.811387,16.882574,35255507615760
205.37545247,28.23978304,19.908199,19.66374,20.697685,193583034531856
205.39706322,28.29246259,21.774591,21.30088,24.680124,105622104834832
205.39393168,28.31534895,15.898234,15.672902,17.046665,35255507619856
205.39791635,28.29556221,21.851057,21.306362,24.333462,246359593190160
205.39055897,28.2895223,22.506128,21.954693,24.200871,105622104834320
205.38887021,28.29213833,22.817015,22.333368,23.956734,123214324432912
205.39578386,28.28979524,22.670391,21.913855,24.061165,35253394211088
205.3942729,28.2890358,23.609274,22.874763,25.423588,105622138388752
205.38714346,28.2574276,16.951036,16.418169,18.18799,193583034535952
205.39303129,28.29998697,22.686655,22.06562,23.526711,175990882566416
205.38519325,28.2581729,20.387238,20.003702,21.417339,35253393686544
205.38846624,28.2573276,23.516842,22.755014,26.134651,545426788975376
205.39772167,28.28112912,22.839939,22.127859,24.012611,105622138388496
205.37718271,28.41149013,20.511993,19.858862,22.81324,105622137733208
205.13996412,28.28560339,22.942854,22.09486,25.917454,68987912448
205.14287541,28.30850879,23.066229,22.329311,25.280138,68987912448
205.14186606,28.31532751,23.544651,23.35046,24.39916,105622137868560
205.37869277,28.31072015,19.348351,19.050266,20.335482,35253393686544
205.37485653,28.30735601,21.418737,20.420534,23.318584,35253360136208
205.37853424,28.41017122,18.738863,18.366312,19.716591,35255507619856
205.3918848,28.29353227,14.741098,14.025781,16.649878,202379161899024
205.37719298,28.3118706,21.205976,20.658272,23.696814,35253360136208
205.38850996,28.40905075,19.478924,19.194645,20.368309,35219035521116
205.3761762,28.41853824,19.6576,19.383785,20.605492,35253360132112
205.3756467,28.30794189,21.151552,20.731928,22.300009,35255507620112
205.37702228,28.42242355,20.293249,19.951317,21.277618,35253393686544
205.37823737,28.4196858,20.358202,20.056599,21.188879,35253393686544
205.37652698,28.42155782,22.825647,21.840847,23.450226,105622137868304
205.38048811,28.30971051,21.329334,20.865269,22.658094,263951778709520
205.37954913,28.31283724,21.3384,20.962992,22.692284,35253360136208
205.39300168,28.29819336,19.733364,19.388397,20.575525,35253394210832
205.3889423,28.29006885,19.781244,19.515753,20.682495,35253394210832
205.1388335,28.30909152,21.061878,20.438299,21.529722,69055152712
205.12315096,28.25297744,21.241678,20.908213,22.072527,105622104313872
205.14373666,28.45704383,20.346737,20.08576,21.212721,35253360001552
205.14429937,28.32222076,19.321848,19.057688,20.256304,68987912192
205.37514002,28.30898063,21.563932,21.18767,23.665802,105622104314384
205.38089616,28.31360008,21.907784,21.47192,23.869968,105622104313872
205.15068539,28.39070949,18.6766,18.31353,19.655327,68987912192
205.14788758,28.3316157,19.22308,18.861324,20.25778,35253360132112
205.16193858,28.44132349,18.700048,18.403803,19.488937,35253360132624
205.16292373,28.3129414,22.313847,22.012371,22.856331,105622137864208
205.16507101,28.44270334,21.19701,20.726322,22.057905,68987912704
205.16018674,28.30924903,22.351181,22.296158,24.823845,35253393555728
205.1585429,28.30877288,16.693935,16.367748,17.696436,35255507484688
205.15660632,28.45294865,21.469173,20.994423,22.471476,68987912704
204.96254086,28.31377833,20.15617,19.617168,21.354017,68987912192
205.15144601,28.34052826,22.817465,22.034708,24.760136,68987912448
204.77558916,28.39770782,23.959879,23.176895,26.092941,281543964623104
204.77760875,28.42044694,22.811882,22.221199,25.256891,68987912960
204.61361691,28.48471606,23.872208,23.368876,24.724842,439804919677184
204.70748537,28.43738399,22.779829,21.915728,25.651182,68987912448
204.70645716,28.47254007,23.211529,22.729033,23.982231,440038995394816
204.66665007,28.48188737,21.762989,21.3549,22.168432,281543964753920
205.15776132,28.33078402,21.588554,21.304405,22.443628,68987912192
205.1582481,28.32813833,19.733133,19.50588,20.548838,158398662443008
204.61348564,28.48077599,20.125473,19.199766,22.40564,70061654528
205.16024567,28.2817899,21.372217,20.993549,22.452175,68987912192
205.99088904,27.7375822,17.175568,16.791327,18.318169,68987912704
205.40124757,28.35674291,14.805408,14.798856,16.852289,202344803209236
205.40270706,28.38261343,15.05564,14.509602,16.237112,52845548016148
205.40832295,28.40928399,16.163057,15.87178,17.268421,35219035521116
205.98073643,27.71252832,16.750443,16.472048,17.697235,35255507484688
205.41105303,28.40156872,17.143063,16.572704,18.356686,193583036109404
205.39834518,28.41645402,17.148581,16.603333,18.443741,35219035521116
205.40862557,28.40185914,18.213531,17.733007,19.384523,193583069659228
205.74039418,27.81819247,23.486153,22.738071,25.205349,281543964623104
205.40487818,28.35952753,18.906971,18.693966,19.880013,35253395259412
205.41998195,27.91301708,23.840181,22.891682,24.649818,35253360136464
204.96183966,28.04910896,24.195259,23.491758,24.852388,457465858756880
